                  trigger_name                   | event_manipulation |       event_object_table       |                       action_statement                       
 trg_auto_tenant_inventory_movements             | INSERT             | inventory_movements            | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_company_inventory_movements            | INSERT             | inventory_movements            | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_inventory_stock                 | INSERT             | inventory_stock                | EXECUTE FUNCTION set_inventory_stock_tenant()
 trg_audit_journal_entries                       | UPDATE             | journal_entries                | EXECUTE FUNCTION auto_audit_log()
 trg_audit_journal_entries                       | DELETE             | journal_entries                | EXECUTE FUNCTION auto_audit_log()
 trg_audit_journal_entries                       | INSERT             | journal_entries                | EXECUTE FUNCTION auto_audit_log()
 set_entry_number                                | INSERT             | journal_entries                | EXECUTE FUNCTION generate_entry_number()
 trg_journal_entries_n8n                         | UPDATE             | journal_entries                | EXECUTE FUNCTION notify_n8n_webhook()
 ensure_journal_entry_balanced                   | UPDATE             | journal_entries                | EXECUTE FUNCTION check_journal_entry_balance()
 trg_update_budget_from_journal                  | UPDATE             | journal_entries                | EXECUTE FUNCTION update_budget_actuals_from_journal()
 trg_update_timestamp_journal_entries            | UPDATE             | journal_entries                | EXECUTE FUNCTION update_updated_at()
 set_default_currency_trigger                    | INSERT             | journal_entries                | EXECUTE FUNCTION set_default_currency_for_journal_entry()
 trg_journal_entries_n8n                         | INSERT             | journal_entries                | EXECUTE FUNCTION notify_n8n_webhook()
 trg_brand_isolation_journal_entries             | UPDATE             | journal_entries                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_journal_entries             | INSERT             | journal_entries                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_journal_entries                 | INSERT             | journal_entries                | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_company_journal_entries                | INSERT             | journal_entries                | EXECUTE FUNCTION auto_set_company_id()
 update_journal_entry_totals_trigger             | UPDATE             | journal_entry_lines            | EXECUTE FUNCTION update_journal_entry_totals()
 set_tenant_id_trigger                           | INSERT             | journal_entry_lines            | EXECUTE FUNCTION set_journal_entry_line_tenant_id()
 trg_auto_tenant_journal_entry_lines             | INSERT             | journal_entry_lines            | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_journal_entry_lines         | INSERT             | journal_entry_lines            | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_journal_entry_lines         | UPDATE             | journal_entry_lines            | EXECUTE FUNCTION enforce_brand_isolation()
 trg_update_cost_center_spending                 | INSERT             | journal_entry_lines            | EXECUTE FUNCTION update_cost_center_spending()
 trg_update_cost_center_spending                 | UPDATE             | journal_entry_lines            | EXECUTE FUNCTION update_cost_center_spending()
 trigger_update_marker_timestamp                 | UPDATE             | journal_entry_lines            | EXECUTE FUNCTION update_marker_color()
 update_journal_entry_totals_trigger             | INSERT             | journal_entry_lines            | EXECUTE FUNCTION update_journal_entry_totals()
 update_journal_entry_totals_trigger             | DELETE             | journal_entry_lines            | EXECUTE FUNCTION update_journal_entry_totals()
 trigger_set_tenant_mfa_company_settings         | UPDATE             | mfa_company_settings           | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_mfa_company_settings         | INSERT             | mfa_company_settings           | EXECUTE FUNCTION set_tenant_from_company()
 update_modules_updated_at                       | UPDATE             | modules                        | EXECUTE FUNCTION update_updated_at_column()
