type,from_table,from_col,to_table,to_col,constraint_name
FK,correspondents,company_id,companies,id,correspondents_company_id_fkey
FK,cost_centers,manager_id,user_profiles,id,cost_centers_manager_id_fkey
FK,cost_centers,company_id,companies,id,cost_centers_company_id_fkey
FK,cost_centers,tenant_id,tenants,id,cost_centers_tenant_id_fkey
FK,cost_centers,parent_id,cost_centers,id,cost_centers_parent_id_fkey
FK,coupon_usage,tenant_id,tenants,id,coupon_usage_tenant_id_fkey
FK,currencies,tenant_id,tenants,id,currencies_tenant_id_fkey
FK,currency_exchanges,to_fund_id,funds,id,currency_exchanges_to_fund_id_fkey
FK,currency_exchanges,from_fund_id,funds,id,currency_exchanges_from_fund_id_fkey
FK,currency_exchanges,branch_id,branches,id,currency_exchanges_branch_id_fkey
FK,currency_exchanges,company_id,companies,id,currency_exchanges_company_id_fkey
FK,currency_exchanges,tenant_id,tenants,id,currency_exchanges_tenant_id_fkey
FK,custom_statuses,tenant_id,tenants,id,custom_statuses_tenant_id_fkey
FK,custom_statuses,group_id,status_groups,id,custom_statuses_group_id_fkey
FK,customer_addresses,customer_id,customers,id,customer_addresses_customer_id_fkey
FK,customer_groups,parent_id,customer_groups,id,customer_groups_parent_id_fkey
FK,customer_groups,tenant_id,tenants,id,customer_groups_tenant_id_fkey
FK,customer_groups,company_id,companies,id,customer_groups_company_id_fkey
FK,customers,price_list_id,price_lists,id,customers_price_list_id_fkey
FK,customers,group_id,customer_groups,id,customers_group_id_fkey
FK,customers,company_id,companies,id,customers_company_id_fkey
FK,customers,tenant_id,tenants,id,customers_tenant_id_fkey
FK,customers,receivable_account_id,chart_of_accounts,id,customers_receivable_account_id_fkey
FK,delivery_note_items,delivery_note_id,delivery_notes,id,delivery_note_items_delivery_note_id_fkey
FK,employee_commissions,tenant_id,tenants,id,employee_commissions_tenant_id_fkey
FK,employee_commissions,company_id,companies,id,employee_commissions_company_id_fkey
FK,employee_commissions,journal_entry_id,journal_entries,id,employee_commissions_journal_entry_id_fkey
FK,employee_commissions,plan_id,incentive_plans,id,employee_commissions_plan_id_fkey
FK,employee_commissions,assignment_id,employee_incentive_assignments,id,employee_commissions_assignment_id_fkey
FK,employee_incentive_assignments,company_id,companies,id,employee_incentive_assignments_company_id_fkey
FK,employee_incentive_assignments,plan_id,incentive_plans,id,employee_incentive_assignments_plan_id_fkey
FK,employee_incentive_assignments,tenant_id,tenants,id,employee_incentive_assignments_tenant_id_fkey
FK,employee_targets,tenant_id,tenants,id,employee_targets_tenant_id_fkey
FK,employee_targets,company_id,companies,id,employee_targets_company_id_fkey
FK,exchange_rates,company_id,companies,id,exchange_rates_company_id_fkey
FK,exchange_rates,tenant_id,tenants,id,exchange_rates_tenant_id_fkey
FK,fabric_colors,company_id,companies,id,fabric_colors_company_id_fkey
FK,fabric_groups,parent_id,fabric_groups,id,fabric_groups_parent_id_fkey
FK,fabric_groups,tenant_id,tenants,id,fabric_groups_tenant_id_fkey
FK,fabric_materials,sales_account_id,chart_of_accounts,id,fabric_materials_sales_account_id_fkey
FK,fabric_materials,sample_expense_account_id,chart_of_accounts,id,fabric_materials_sample_expense_account_id_fkey
FK,fabric_materials,group_id,fabric_groups,id,fabric_materials_group_id_fkey
FK,fabric_materials,company_id,companies,id,fabric_materials_company_id_fkey
FK,fabric_materials,tenant_id,tenants,id,fabric_materials_tenant_id_fkey
FK,fabric_materials,inventory_account_id,chart_of_accounts,id,fabric_materials_inventory_account_id_fkey
FK,fabric_materials,cogs_account_id,chart_of_accounts,id,fabric_materials_cogs_account_id_fkey
FK,fabric_rolls,company_id,companies,id,fabric_rolls_company_id_fkey
FK,fabric_rolls,batch_id,batches,id,fabric_rolls_batch_id_fkey
FK,fabric_rolls,warehouse_id,warehouses,id,fabric_rolls_warehouse_id_fkey
FK,fabric_rolls,bin_location_id,bin_locations,id,fabric_rolls_bin_location_id_fkey
FK,fabric_rolls,color_id,fabric_colors,id,fabric_rolls_color_id_fkey
FK,fabric_rolls,product_id,products,id,fabric_rolls_product_id_fkey
FK,fiscal_years,company_id,companies,id,fiscal_years_company_id_fkey
FK,fiscal_years,tenant_id,tenants,id,fiscal_years_tenant_id_fkey
FK,funds,company_id,companies,id,funds_company_id_fkey
FK,funds,branch_id,branches,id,funds_branch_id_fkey
FK,funds,account_id,accounts,id,funds_account_id_fkey
FK,funds,tenant_id,tenants,id,funds_tenant_id_fkey
FK,gold_items,company_id,companies,id,gold_items_company_id_fkey
FK,gold_items,warehouse_id,warehouses,id,gold_items_warehouse_id_fkey
FK,gold_items,product_id,products,id,gold_items_product_id_fkey
FK,gold_items,tenant_id,tenants,id,gold_items_tenant_id_fkey
FK,gold_prices,company_id,companies,id,gold_prices_company_id_fkey
FK,gold_prices,tenant_id,tenants,id,gold_prices_tenant_id_fkey
FK,guest_checkouts,company_id,companies,id,guest_checkouts_company_id_fkey
FK,guest_checkouts,converted_to_customer_id,customers,id,guest_checkouts_converted_to_customer_id_fkey
FK,guest_checkouts,tenant_id,tenants,id,guest_checkouts_tenant_id_fkey
FK,in_app_notifications,tenant_id,tenants,id,in_app_notifications_tenant_id_fkey
FK,incentive_plan_tiers,plan_id,incentive_plans,id,incentive_plan_tiers_plan_id_fkey
FK,incentive_plans,tenant_id,tenants,id,incentive_plans_tenant_id_fkey
FK,incentive_plans,company_id,companies,id,incentive_plans_company_id_fkey
FK,inventory_movements,to_warehouse_id,warehouses,id,inventory_movements_to_warehouse_id_fkey
FK,inventory_movements,from_warehouse_id,warehouses,id,inventory_movements_from_warehouse_id_fkey
