function_name,routine_type,return_type,language
get_material_inventory_stats_batch,FUNCTION,record,PLPGSQL
get_mfa_status,FUNCTION,record,PLPGSQL
get_modules_by_product,FUNCTION,record,PLPGSQL
get_monthly_expenses,FUNCTION,json,PLPGSQL
get_monthly_revenue,FUNCTION,record,PLPGSQL
get_monthly_sales,FUNCTION,json,PLPGSQL
get_monthly_summary,FUNCTION,json,PLPGSQL
get_or_create_cart,FUNCTION,uuid,PLPGSQL
get_order_details,FUNCTION,jsonb,PLPGSQL
get_partner_allowed_brand_ids,FUNCTION,ARRAY,PLPGSQL
get_partner_tenant_ids,FUNCTION,ARRAY,PLPGSQL
get_party_balance,FUNCTION,jsonb,PLPGSQL
get_pending_recurring_entries,FUNCTION,record,PLPGSQL
get_plan_modules,FUNCTION,record,PLPGSQL
get_plan_pricing,FUNCTION,jsonb,PLPGSQL
get_plans_by_product,FUNCTION,record,PLPGSQL
get_product_name,FUNCTION,character varying,PLPGSQL
get_product_primary_image,FUNCTION,text,PLPGSQL
get_product_review_statistics,FUNCTION,jsonb,PLPGSQL
get_product_reviews,FUNCTION,record,PLPGSQL
get_product_stats,FUNCTION,record,PLPGSQL
get_products_for_store,FUNCTION,record,PLPGSQL
get_promotional_discounts,FUNCTION,record,PLPGSQL
get_remaining_days,FUNCTION,integer,PLPGSQL
get_shipment_items_summary,FUNCTION,record,PLPGSQL
get_status_color_class,FUNCTION,character varying,PLPGSQL
get_subscription_plans,FUNCTION,record,PLPGSQL
get_subscription_stats,FUNCTION,jsonb,PLPGSQL
get_target_achievement_report,FUNCTION,record,PLPGSQL
get_tenant_active_languages,FUNCTION,record,PLPGSQL
get_tenant_available_modules,FUNCTION,record,PLPGSQL
get_tenant_company_ids,FUNCTION,ARRAY,PLPGSQL
get_tenant_limits,FUNCTION,jsonb,PLPGSQL
get_tenant_sidebar_structure,FUNCTION,jsonb,PLPGSQL
get_tenant_statistics,FUNCTION,jsonb,PLPGSQL
get_tenants_by_product,FUNCTION,record,PLPGSQL
get_total_revenue,FUNCTION,numeric,PLPGSQL
get_transfer_history,FUNCTION,record,PLPGSQL
get_translated_customer_group_name,FUNCTION,character varying,PLPGSQL
get_translated_price_list_name,FUNCTION,character varying,PLPGSQL
get_user_accessible_company_ids,FUNCTION,ARRAY,PLPGSQL
get_user_accessible_funds,FUNCTION,record,PLPGSQL
get_user_accessible_warehouses,FUNCTION,record,PLPGSQL
