schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,agent_commissions,agent_commissions_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,agent_commissions,agent_commissions_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,agent_events,agent_events_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_events,agent_events_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_events,agent_events_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_events,agent_events_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agent_messages,agent_messages_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_messages,agent_messages_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_messages,agent_messages_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_messages,agent_messages_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agent_targets,agent_targets_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_targets,agent_targets_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_targets,agent_targets_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_targets,agent_targets_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agent_tiers,agent_tiers_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_tiers,agent_tiers_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_tiers,agent_tiers_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_tiers,agent_tiers_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agent_withdrawals,agent_withdrawals_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_withdrawals,agent_withdrawals_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_withdrawals,agent_withdrawals_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_withdrawals,agent_withdrawals_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agents,agents_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agents,agents_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agents,agents_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agents,agents_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,announcements,announcements_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,announcements,announcements_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,announcements,announcements_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,announcements,announcements_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,audit_logs,audit_logs_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,audit_logs,audit_logs_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,audit_logs,audit_logs_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,audit_logs,audit_logs_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,bank_account_limits,bank_account_limits_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,bank_account_limits,bank_account_limits_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,bank_account_limits,bank_account_limits_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,bank_account_limits,bank_account_limits_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,bank_integrations,bank_integrations_delete_policy,PERMISSIVE,{public},DELETE,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,bank_integrations,bank_integrations_insert_policy,PERMISSIVE,{public},INSERT,null,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id())))
public,bank_integrations,bank_integrations_select_policy,PERMISSIVE,{public},SELECT,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,bank_integrations,bank_integrations_update_policy,PERMISSIVE,{public},UPDATE,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,batches,batches_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,batches,batches_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,batches,batches_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,batches,batches_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,billing_invoices,billing_invoices_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,billing_invoices,billing_invoices_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,billing_invoices,billing_invoices_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,billing_invoices,billing_invoices_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,billing_payments,billing_payments_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,billing_payments,billing_payments_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,billing_payments,billing_payments_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,billing_payments,billing_payments_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,bin_locations,bin_locations_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,bin_locations,bin_locations_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,bin_locations,bin_locations_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,bin_locations,bin_locations_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,branches,branches_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,branches,branches_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,branches,branches_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,branches,branches_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,budget_alerts,budget_alerts_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,budget_alerts,budget_alerts_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,budget_alerts,budget_alerts_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,budget_alerts,budget_alerts_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,budget_lines,budget_lines_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,budget_lines,budget_lines_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,budget_lines,budget_lines_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,budget_lines,budget_lines_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,budgets,budgets_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,budgets,budgets_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,budgets,budgets_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,budgets,budgets_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,business_industries,business_industries_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,business_industries,business_industries_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,business_industries,business_industries_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,business_industries,business_industries_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,call_analyses,call_analyses_delete_policy,PERMISSIVE,{public},DELETE,is_platform_admin(),null
public,call_analyses,call_analyses_insert_policy,PERMISSIVE,{public},INSERT,null,"(is_platform_admin() OR (EXISTS ( SELECT 1
   FROM call_logs cl
  WHERE ((cl.id = call_analyses.call_id) AND (cl.tenant_id = get_user_tenant_id())))))"
public,call_analyses,call_analyses_select_policy,PERMISSIVE,{public},SELECT,"(is_platform_admin() OR (EXISTS ( SELECT 1
   FROM call_logs cl
  WHERE ((cl.id = call_analyses.call_id) AND (cl.tenant_id = get_user_tenant_id())))))",null
public,call_analyses,call_analyses_update_policy,PERMISSIVE,{public},UPDATE,"(is_platform_admin() OR (EXISTS ( SELECT 1
   FROM call_logs cl
  WHERE ((cl.id = call_analyses.call_id) AND (cl.tenant_id = get_user_tenant_id()) AND is_tenant_admin()))))",null
public,call_logs,call_logs_delete_policy,PERMISSIVE,{public},DELETE,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,call_logs,call_logs_insert_policy,PERMISSIVE,{public},INSERT,null,(is_platform_admin() OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id())))
public,call_logs,call_logs_select_policy,PERMISSIVE,{public},SELECT,(is_platform_admin() OR (is_partner_or_reseller() AND (tenant_id = ANY (get_partner_tenant_ids()))) OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id()))),null
public,call_logs,call_logs_update_policy,PERMISSIVE,{public},UPDATE,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,cash_accounts,cash_accounts_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,cash_accounts,cash_accounts_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,cash_accounts,cash_accounts_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,cash_accounts,cash_accounts_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,cash_transactions,cash_transactions_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,cash_transactions,cash_transactions_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,cash_transactions,cash_transactions_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,cash_transactions,cash_transactions_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,category_customer_access,category_customer_access_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,category_customer_access,category_customer_access_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,category_customer_access,category_customer_access_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,category_customer_access,category_customer_access_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,changelog,changelog_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,changelog,changelog_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,changelog,changelog_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,changelog,changelog_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,chart_of_accounts,chart_of_accounts_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,chart_of_accounts,chart_of_accounts_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,chart_of_accounts,chart_of_accounts_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,chart_of_accounts,chart_of_accounts_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,chart_templates,chart_templates_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,chart_templates,chart_templates_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,chart_templates,chart_templates_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,chart_templates,chart_templates_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,coa_template_cash_accounts,coa_template_cash_accounts_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,coa_template_cash_accounts,coa_template_cash_accounts_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,coa_template_cash_accounts,coa_template_cash_accounts_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,coa_template_cash_accounts,coa_template_cash_accounts_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,coa_template_items,coa_template_items_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,coa_template_items,coa_template_items_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,coa_template_items,coa_template_items_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,coa_template_items,coa_template_items_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,coa_templates,coa_templates_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,coa_templates,coa_templates_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,coa_templates,coa_templates_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,coa_templates,coa_templates_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,commission_entries,commission_entries_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,commission_entries,commission_entries_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,commission_entries,commission_entries_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,commission_entries,commission_entries_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,commission_rules,commission_rules_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,commission_rules,commission_rules_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,commission_rules,commission_rules_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,commission_rules,commission_rules_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,companies,companies_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,companies,companies_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,companies,companies_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,companies,companies_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,company_accounting_settings,company_accounting_settings_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,company_accounting_settings,company_accounting_settings_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,company_accounting_settings,company_accounting_settings_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,company_accounting_settings,company_accounting_settings_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,company_countries,company_countries_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,company_countries,company_countries_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,company_countries,company_countries_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,company_countries,company_countries_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,company_workflow_settings,cws_insert,PERMISSIVE,{public},INSERT,null,(auth.uid() IS NOT NULL)
public,company_workflow_settings,cws_select,PERMISSIVE,{public},SELECT,(auth.uid() IS NOT NULL),null
public,company_workflow_settings,cws_update,PERMISSIVE,{public},UPDATE,(auth.uid() IS NOT NULL),null
public,contact_interactions,contact_interactions_delete_policy,PERMISSIVE,{public},DELETE,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,contact_interactions,contact_interactions_insert_policy,PERMISSIVE,{public},INSERT,null,(is_platform_admin() OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id())))
public,contact_interactions,contact_interactions_select_policy,PERMISSIVE,{public},SELECT,(is_platform_admin() OR (is_partner_or_reseller() AND (tenant_id = ANY (get_partner_tenant_ids()))) OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id()))),null
public,contact_interactions,contact_interactions_update_policy,PERMISSIVE,{public},UPDATE,(is_platform_admin() OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id()))),null
public,contacts,contacts_delete_policy,PERMISSIVE,{public},DELETE,(is_platform_admin() OR (is_tenant_admin() AND (tenant_id = get_user_tenant_id()))),null
public,contacts,contacts_insert_policy,PERMISSIVE,{public},INSERT,null,(is_platform_admin() OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id())))
public,contacts,contacts_select_policy,PERMISSIVE,{public},SELECT,(is_platform_admin() OR (is_partner_or_reseller() AND (tenant_id = ANY (get_partner_tenant_ids()))) OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id()))),null
public,contacts,contacts_update_policy,PERMISSIVE,{public},UPDATE,(is_platform_admin() OR (is_same_brand(tenant_id) AND (tenant_id = get_user_tenant_id()))),null
public,container_cost_allocations,container_cost_allocations_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,container_cost_allocations,container_cost_allocations_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,container_cost_allocations,container_cost_allocations_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,container_cost_allocations,container_cost_allocations_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,container_expense_allocations,container_expense_allocations_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,container_expense_allocations,container_expense_allocations_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,container_expense_allocations,container_expense_allocations_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,container_expense_allocations,container_expense_allocations_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,container_expenses,container_expenses_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,container_expenses,container_expenses_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,container_expenses,container_expenses_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,container_expenses,container_expenses_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
