trigger_name,event,table_name,timing,action_statement
trg_auto_tenant_journal_entry_lines,INSERT,journal_entry_lines,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_journal_entry_lines,UPDATE,journal_entry_lines,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_journal_entry_lines,INSERT,journal_entry_lines,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_cost_center_spending,INSERT,journal_entry_lines,AFTER,EXECUTE FUNCTION update_cost_center_spending()
trg_update_cost_center_spending,UPDATE,journal_entry_lines,AFTER,EXECUTE FUNCTION update_cost_center_spending()
trigger_update_marker_timestamp,UPDATE,journal_entry_lines,BEFORE,EXECUTE FUNCTION update_marker_color()
update_journal_entry_totals_trigger,INSERT,journal_entry_lines,AFTER,EXECUTE FUNCTION update_journal_entry_totals()
update_journal_entry_totals_trigger,UPDATE,journal_entry_lines,AFTER,EXECUTE FUNCTION update_journal_entry_totals()
update_journal_entry_totals_trigger,DELETE,journal_entry_lines,AFTER,EXECUTE FUNCTION update_journal_entry_totals()
trigger_set_tenant_mfa_company_settings,INSERT,mfa_company_settings,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_mfa_company_settings,UPDATE,mfa_company_settings,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
update_modules_updated_at,UPDATE,modules,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_audit_partner_allowed_products,DELETE,partner_allowed_products,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_partner_allowed_products,INSERT,partner_allowed_products,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_partner_allowed_products,UPDATE,partner_allowed_products,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_partners,DELETE,partners,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_partners,INSERT,partners,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_partners,UPDATE,partners,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_protect_partners,UPDATE,partners,BEFORE,EXECUTE FUNCTION protect_partners()
trg_protect_partners,INSERT,partners,BEFORE,EXECUTE FUNCTION protect_partners()
trg_update_timestamp_partners,UPDATE,partners,BEFORE,EXECUTE FUNCTION update_updated_at()
trg_auto_company_payment_receipts,INSERT,payment_receipts,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_payment_receipts,INSERT,payment_receipts,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_payment_receipts,UPDATE,payment_receipts,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_payment_receipts,INSERT,payment_receipts,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_payment_vouchers,INSERT,payment_vouchers,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_payment_vouchers,INSERT,payment_vouchers,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_payment_vouchers,UPDATE,payment_vouchers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_payment_vouchers,INSERT,payment_vouchers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_product_categories,INSERT,product_categories,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_product_categories,INSERT,product_categories,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_product_categories,INSERT,product_categories,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
